X,Y,OBJECTID,SITE_NAME,ADDRESS,BLACK_CARBON,ULTRAFINE_PARTICULATE,CO,SO2,OZONE,NO2,NOY_NO,PM10,PM2_5,SPECIATED_2_5,PM_COURSE,CARBONYLS,PAMS_VOC,TSP_11101,TSP_METALS,TSP_LEAD,TOXICS_TO15,MET,COMMUNITY_AIR_TOXICS
-75.0976254116865,40.0086138458105,1,LAB,1501 East Lycoming Avenue,N,N,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,y,N,N
-75.2369677323426,40.0504690643745,2,ROX,Eva and Dearnley Streets,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N
-75.0131294180586,40.0720807720796,3,NEA,Grant Avenue and Ashton Street,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
-75.1654439781741,39.9445179309722,4,CHS,500 South Broad Street,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N
-75.0803793155886,39.9916964890487,5,NEW,2861 Lewis Street,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,N
-75.1871575445133,39.9228029395021,6,RIT,24th and Ritner Streets,N,N,N,Y,N,N,N,N,Y,Y,N,Y,N,N,Y,N,Y,Y,N
-75.1434141032755,39.9607849863479,7,FAB,3rd and Spring Garden Streets,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
-75.2207958189248,39.8850221011732,8,SWA,8200 Enterprise Avenue,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N
-74.9836817982037,40.0539772228762,9,TOR,4900 Grant Avenue,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N
-75.1854497489582,39.9127979821969,10,PHA,3100 Penrose Ferry Road,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
-75.2072591177394,39.9889773051885,11,MON,I-76 and Montgomery,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,Y,Y,N,N,Y,N
-75.1499098634373,39.9527642482796,12,VGR,6th and Arch,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N
